F606W flux (muJy),F814W flux (muJy),F125W flux (muJy),F160W flux (muJy),F606W/F814W,F814W/F125W,F125W/F160W,redshift
0.122129,0.116338,0.141179,0.232375,1.049777372827451,0.8240460691745939,0.6075481441635288,2.0172333333333334
0.146205,0.248667,0.374026,0.417352,0.5879549759316677,0.664838807997305,0.8961883494029022,0.8352666666666666
0.0543013,0.0674721,0.100403,0.165964,0.8047963528628871,0.672012788462496,0.6049685473958208,1.1499333333333333
0.140418,0.214603,0.317033,0.454155,0.6543151773274372,0.6769106055205609,0.6980722440576456,1.0030666666666666
0.0502408,0.0514974,0.106379,0.135058,0.9755987680931465,0.48409366510307483,0.787654193013372,0.5088333333333332
0.03622,0.0770004,0.131321,0.139971,0.47038716681991266,0.5863525254909725,0.938201484593237,0.77245
0.259434,0.111663,0.173081,0.174748,2.323365841863464,0.6451488031615255,0.9904605489047087,1.4224499999999998
0.221937,0.329447,0.503824,0.602267,0.6736652633048715,0.6538930261361109,0.8365459173423084,0.9209166666666668
0.06582,0.071969,0.200007,0.195179,0.9145604357431671,0.35983240586579474,1.0247362677337213,1.5055666666666665
0.149805,0.235393,0.846512,0.818857,0.6364038013025026,0.27807402612130716,1.033772685584907,1.3027
0.307611,0.596892,0.710633,0.874483,0.5153545364990653,0.8399441061701328,0.8126321495100534,0.9362666666666666
0.0915264,0.171009,0.15807,0.106944,0.5352139361086259,1.0818561396849498,1.4780632854578095,3.718
0.63068,3.01092,7.66783,10.9891,0.20946421691708847,0.3926691123825124,0.6977668780882875,0.8153166666666666
0.149677,0.178341,0.428098,0.552043,0.8392741994269406,0.4165891921943107,0.7754794463474766,1.1072999999999997
0.265621,0.279345,0.394313,0.614042,0.9508707870196351,0.7084346699195816,0.6421596568312917,0.8006333333333333
4.37182,13.8194,23.0418,25.9221,0.3163538214394257,0.5997534914807003,0.888886317080792,0.35823333333333335
0.0901195,0.183753,0.347686,0.378752,0.49043825134827734,0.5285027294742958,0.9179779908752957,1.0301333333333333
0.136369,0.1289,0.134728,0.276629,1.057944142746315,0.9567424737248382,0.48703498187102573,1.0828333333333333
0.166134,0.202789,0.773704,1.29958,0.8192456198314505,0.2621015271990322,0.5953492666861602,1.87715
0.0750941,0.0834187,0.114252,0.256885,0.9002070279205981,0.7301290130588524,0.44475932810401547,0.8127999999999999
0.0250822,0.20138,0.187892,0.201529,0.1245515940013904,1.0717859195708173,0.932332319418049,4.8705
0.0810641,0.0788063,0.148183,0.116319,1.0286499937187763,0.5318174149531322,1.2739363302641873,1.3530666666666666
0.193919,0.69858,2.03545,2.7605,0.27759025451630454,0.3432066619175121,0.7373483064662198,0.9018666666666667
0.051227,0.0790562,0.137978,0.16012,0.6479820684525692,0.5729623563176738,0.8617162128403696,1.0872833333333334
0.0516613,0.08013,0.0954802,0.095249,0.6447185823037563,0.8392315893766457,1.0024273220716229,3.5097166666666664
0.176304,0.434394,0.62893,0.779018,0.40586195941932895,0.6906873578935653,0.8073369293135717,0.9208666666666668
0.00859434,0.00755706,0.0106023,0.0519547,1.1372597279894563,0.7127755298378653,0.2040681593773037,1.4034666666666666
0.347971,0.364939,0.591656,0.705788,0.9535045582960439,0.6168094298038049,0.8382913849484548,2.149516666666667
0.0401273,0.0665544,0.121863,0.164246,0.6029248254059837,0.5461411585140691,0.741954141957795,1.2917666666666667
0.124217,0.211534,0.353713,0.471445,0.5872200213677233,0.5980385227571505,0.7502741571127066,1.0425000000000002
0.100346,0.106639,0.140143,0.202749,0.9409878187154794,0.760929907308963,0.6912142599963501,1.4556666666666667
0.0290841,0.0873659,0.150525,0.212077,0.3328999071720202,0.5804079056635111,0.7097657926130604,0.4637166666666666
0.432734,0.456592,0.52189,0.633804,0.9477476609314224,0.8748816800475196,0.8234249073846173,1.9355166666666666
0.199262,0.47136,0.644964,0.810097,0.4227384589273591,0.7308314882691127,0.7961565096525478,1.0919833333333333
0.168901,0.168514,0.301328,0.472096,1.002296545094176,0.559237774119896,0.6382769606181793,0.9055166666666667
0.0176605,0.0433423,0.099322,0.11025,0.4074656859465233,0.43638166770705383,0.9008798185941043,0.6164999999999999
0.088528,0.220063,0.475782,0.599253,0.4022848002617432,0.4625290574254596,0.7939584783054903,0.8858166666666666
0.118814,0.134174,0.150576,0.228571,0.885521785144663,0.8910716183189884,0.658771235196066,2.28655
0.114103,0.115609,0.157996,0.241469,0.9869733325260144,0.7317210562292716,0.6543117335972733,1.9069
0.750285,1.03414,1.27869,1.44035,0.7255158875974239,0.8087495796479209,0.8877633908425037,0.35646666666666665
0.0604502,0.136929,0.216842,0.289927,0.44147112737258,0.6314689958587358,0.7479193038247559,0.6315
0.756108,1.00483,2.0826,2.57851,0.7524735527402646,0.4824882358590224,0.8076757507242553,1.2352666666666667
0.422795,1.10314,2.25582,2.85064,0.38326504342150586,0.4890195139683131,0.7913380854825584,0.8709166666666666
0.355647,0.73024,1.25299,1.38311,0.48702755258545133,0.5827979473100344,0.9059221609271858,0.7698166666666667
0.127643,0.28401,0.266065,0.308087,0.4494313580507729,1.0674459248679833,0.863603462658275,3.9188500000000004
0.0406766,0.0376779,0.0976319,0.0936724,1.0795877689573994,0.3859179223184226,1.0422696546688244,3.14855
0.321638,0.580692,2.04224,2.62451,0.5538874308583552,0.2843407239109997,0.7781414435456524,1.5437666666666665
0.547117,0.709579,1.38184,1.95156,0.7710445207651297,0.5135030104787819,0.7080694418823915,1.8324833333333335
0.198738,0.232968,0.253278,0.254046,0.8530699495209643,0.9198114324970981,0.9969769254387001,0.8047333333333334
0.440101,0.53906,1.1463,1.20813,0.8164230326865285,0.47026083922184414,0.9488217327605474,1.2620666666666667
0.266236,0.237045,0.361399,0.28785,1.123145394334409,0.6559093965395587,1.2555115511551156,0.8442499999999998
0.0696825,0.101883,0.337222,0.191575,0.6839462913341774,0.3021244165564524,1.7602609943886207,0.8012833333333332
0.12307,0.156619,0.181161,0.279211,0.7857922729681583,0.8645293413041439,0.6488318869958561,2.619766666666667
0.0343535,0.0648405,0.0858311,0.153296,0.5298154702693534,0.7554429571565552,0.5599043680200396,1.0726666666666667
0.191921,0.221079,0.302471,0.286868,0.8681104944386396,0.7309097401073161,1.0543908696682793,1.0008
0.0961563,0.0814692,0.149684,0.252583,1.1802779455303354,0.544274605168221,0.5926131212314368,1.0471333333333332
0.199526,0.31473,0.391145,0.450965,0.6339592666730214,0.80463766633857,0.8673511248101294,0.8820166666666666
0.445506,0.621005,0.785772,0.720315,0.7173951900548304,0.7903119479950927,1.090872743174861,0.7824666666666666
0.0328529,0.0750448,0.089503,0.167762,0.4377771677717843,0.8384612806274649,0.5335117607086229,0.9224833333333334
0.0550833,0.0392995,0.061149,0.0984563,1.4016285194468123,0.6426842630296489,0.6210775745178319,1.65735
0.222827,0.771064,1.24847,1.45226,0.28898638764097406,0.6176071511530112,0.8596738875958849,0.9191166666666667
0.108473,0.10738,0.172422,0.274592,1.010178804246601,0.6227743559406572,0.6279206968884745,1.1577666666666666
0.775677,1.53043,1.98965,2.10172,0.5068359872715511,0.7691955871635715,0.9466770074034601,0.9141833333333333
0.0417884,0.113535,0.174507,0.161084,0.3680662350816929,0.6506042737540615,1.0833291947058676,0.5922833333333334
0.0636543,0.0644736,0.0772705,0.152881,0.9872924731983322,0.8343882853094001,0.5054290592029095,0.9572666666666668
0.0703947,0.171125,0.232487,0.283931,0.41136420745069396,0.7360626615681737,0.8188151346629992,0.8182499999999999
0.0440565,0.0649464,0.131456,0.210605,0.6783516869295295,0.4940542843232717,0.6241827117114979,0.99015
0.206165,0.333868,0.40566,0.49773,0.6175045227455161,0.823024207464379,0.8150201916701827,1.1426166666666668
0.0531753,0.0508962,0.0792659,0.1793,1.0447793744916123,0.6420945198376604,0.4420853318460681,2.5464333333333333
0.0266625,0.102429,0.195578,0.220522,0.26030225814954744,0.5237245497959894,0.8868865691404939,0.42815
0.215731,0.399756,0.6008,0.704641,0.5396566905812545,0.6653728362183755,0.8526327590929282,0.9775666666666667
0.061125,0.0737404,0.135159,0.166653,0.8289214596069454,0.5455826101110544,0.8110205036813019,1.4563333333333333
